date,text,link
2017-12-01 11:17,Electrical Engineer,https://newyork.craigslist.org/jsy/egr/d/electrical-engineer/6408166771.html
2017-12-01 11:13,Mechanical Engineer,https://newyork.craigslist.org/mnh/egr/d/mechanical-engineer/6408160742.html
2017-12-01 09:57,Project Architect,https://newyork.craigslist.org/mnh/egr/d/project-architect/6408051343.html
2017-12-01 08:30,Construction Project Manager,https://newyork.craigslist.org/mnh/egr/d/construction-project-manager/6407958557.html
2017-11-30 18:17,ARCHITECTURE - DESIGN - PROJECT MANAGER,https://newyork.craigslist.org/mnh/egr/d/architecture-design-project/6407447211.html
2017-11-30 15:07,Project Architect | Commercial + Residential Buildings,https://newyork.craigslist.org/mnh/egr/d/project-architect-commercial/6407184941.html
2017-11-30 14:50,Freelance Architectural Drafter,https://newyork.craigslist.org/mnh/egr/d/freelance-architectural/6407159851.html
2017-11-30 13:40,Electrical Assistant Project Manager Opening (Graduate Opportunity),https://newyork.craigslist.org/brk/egr/d/electrical-assistant-project/6407049158.html
2017-11-30 13:22,Mechanical PM Opportunity - 5 Boroughs,https://newyork.craigslist.org/mnh/egr/d/mechanical-pm-opportunity-5/6407020910.html
2017-11-30 13:15,"Project Engineer/Project Manager-Industrial, Power, Waste",https://newyork.craigslist.org/lgi/egr/d/project-engineer-project/6407009351.html
2017-11-30 12:56,ARCHITECT/DRAFTER,https://newyork.craigslist.org/brk/egr/d/architect-drafter/6406977880.html
2017-11-29 20:54,Autocad person wanted for immediate hire!!!,https://newyork.craigslist.org/que/egr/d/autocad-person-wanted-for/6406252052.html
2017-11-29 17:52,Administrative Assistant for Design Firm,https://newyork.craigslist.org/mnh/egr/d/administrative-assistant-for/6406049077.html
2017-11-29 17:41,Architect,https://newyork.craigslist.org/mnh/egr/d/architect/6406034206.html
2017-11-29 14:21,MEP/Senior & Mid-Level Resource Managers,https://newyork.craigslist.org/mnh/egr/d/mep-senior-mid-level-resource/6405739872.html
2017-11-29 13:57,MEP Engineers with REVIT- All Levels,https://newyork.craigslist.org/mnh/egr/d/mep-engineers-with-revit-all/6405702059.html
2017-11-29 13:43,Experienced Architectural Metal Programmer,https://newyork.craigslist.org/brk/egr/d/experienced-architectural/6405679944.html
2017-11-29 13:19,Architectural Metal Cost Estimator,https://newyork.craigslist.org/brk/egr/d/architectural-metal-cost/6405639336.html
2017-11-29 13:16,MECHANICAL ENGINEER - Luxury Design/Mfg Co:  Full Time Project Work,https://newyork.craigslist.org/mnh/egr/d/mechanical-engineer-luxury/6405634239.html
2017-11-29 13:14,"FAST, Experienced DRAFTSMAN needed by high-end interior design firm",https://newyork.craigslist.org/mnh/egr/d/fast-experienced-draftsman/6405632081.html
2017-11-29 12:43,Freelance Draftsman / Architectural Technician,https://newyork.craigslist.org/fct/egr/d/freelance-draftsman/6405580472.html
2017-11-29 12:25,Assistant Electrical Project Manager,https://newyork.craigslist.org/que/egr/d/assistant-electrical-project/6405550127.html
2017-11-29 12:13,Auto Cad Drafter Part Time,https://newyork.craigslist.org/fct/egr/d/auto-cad-drafter-part-time/6405530436.html
2017-11-29 11:41,Energy Efficiency Engineer & RCx Agent - CEM needed,https://newyork.craigslist.org/mnh/egr/d/energy-efficiency-engineer/6405478049.html
2017-11-29 09:45,Top Architect Available,https://newyork.craigslist.org/mnh/egr/d/top-architect-available/6405307422.html
2017-11-28 18:55,EIT - Engineer In Training,https://newyork.craigslist.org/brk/egr/d/eit-engineer-in-training/6404746769.html
2017-11-28 16:15,MEP- Sr. & Mid-Level Project Managers/Project Engineers,https://newyork.craigslist.org/mnh/egr/d/mep-sr-mid-level-project/6404526522.html
